gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	celltype
IL10	1.2275774780198734e-33	-2.887153095051942	0.245	0.933	2.2248614211632187e-29	C4_CD4_Cytotoxic|Th1_IFNG
ACSL6	2.0287911399845407e-14	-1.0664640498835818	0.024	0.2	3.6769810621079815e-10	C4_CD4_Cytotoxic|Th1_IFNG
RPS10	3.0465005379918326e-14	-1.1952460711171935	0.773	0.956	5.521477575056397e-10	C4_CD4_Cytotoxic|Th1_IFNG
CD200	5.710973002401111e-13	1.8051519044940696	0.817	0.244	1.0350567469551773e-8	C4_CD4_Cytotoxic|Th1_IFNG
RPS4Y1	8.722995210394045e-13	2.250660165565755	0.596	0	1.5809556519318168e-8	C4_CD4_Cytotoxic|Th1_IFNG
TRBV2	3.0926946390234155e-12	-1.08670276939314	0.022	0.178	5.6051997637660386e-8	C4_CD4_Cytotoxic|Th1_IFNG
CXCL13	2.2702338646633773e-11	5.259293689600316	0.55	0	4.114571856315905e-7	C4_CD4_Cytotoxic|Th1_IFNG
CCL5	3.478692726457689e-11	-1.66328653420351	0.05	0.267	6.304782697431916e-7	C4_CD4_Cytotoxic|Th1_IFNG
DSE	3.6022753626802353e-11	-0.594764122165095	0.01	0.111	6.528763867321659e-7	C4_CD4_Cytotoxic|Th1_IFNG
ZNF90	1.297329871165882e-10	-0.45746884372581326	0.011	0.111	2.3512806585010447e-6	C4_CD4_Cytotoxic|Th1_IFNG
COTL1	1.536685190571611e-10	1.2632053727705146	0.85	0.444	2.785088239391988e-6	C4_CD4_Cytotoxic|Th1_IFNG
CCR6	2.401890687977024e-10	-0.7906299575244032	0.015	0.133	4.353186682889558e-6	C4_CD4_Cytotoxic|Th1_IFNG
CYTH3	7.815756580718086e-10	-0.47655395214797563	0.011	0.111	1.4165277226893459e-5	C4_CD4_Cytotoxic|Th1_IFNG
MAF	1.8838278668132506e-9	-1.4189849873535179	0.303	0.644	3.414249625812335e-5	C4_CD4_Cytotoxic|Th1_IFNG
GZMB	2.333368399783403e-9	-2.3760118600591262	0.077	0.311	4.2289968877674394e-5	C4_CD4_Cytotoxic|Th1_IFNG
SOD1	4.070616776791903e-9	1.078924732070829	0.895	0.667	7.377585846257645e-5	C4_CD4_Cytotoxic|Th1_IFNG
