ID	Description	geneID	status	celltype	Tissue	dataset	Dataset name
hsa00071	Fatty acid degradation	ACAA2	Down	C2_PT_FTL	Kidney	GSE210622	Hinze C et al. (Kidney)
hsa01212	Fatty acid metabolism	ECHS1	Down	C2_PT_FTL	Kidney	GSE210622	Hinze C et al. (Kidney)
hsa01212	Fatty acid metabolism	ACAA1	Down	C2_PT_FTL	Kidney	GSE210622	Hinze C et al. (Kidney)
hsa01212	Fatty acid metabolism	EHHADH	Down	C2_PT_FTL	Kidney	GSE210622	Hinze C et al. (Kidney)
hsa01212	Fatty acid metabolism	ACAT1	Down	C2_PT_FTL	Kidney	GSE210622	Hinze C et al. (Kidney)
hsa01212	Fatty acid metabolism	ACADSB	Down	C2_PT_FTL	Kidney	GSE210622	Hinze C et al. (Kidney)
hsa01212	Fatty acid metabolism	ACAA2	Down	C2_PT_FTL	Kidney	GSE210622	Hinze C et al. (Kidney)
hsa00561	Glycerolipid metabolism	GPAT3	Down	C26_CDICA_SLC26A7	Kidney	GSE210622	Hinze C et al. (Kidney)
hsa00561	Glycerolipid metabolism	DGKI	Down	C26_CDICA_SLC26A7	Kidney	GSE210622	Hinze C et al. (Kidney)
hsa00564	Glycerophospholipid metabolism	GPAT3	Down	C26_CDICA_SLC26A7	Kidney	GSE210622	Hinze C et al. (Kidney)
hsa00564	Glycerophospholipid metabolism	DGKI	Down	C26_CDICA_SLC26A7	Kidney	GSE210622	Hinze C et al. (Kidney)
hsa00561	Glycerolipid metabolism	DGKB	Down	C3_PT_SLC22A7	Kidney	GSE210622	Hinze C et al. (Kidney)
hsa00561	Glycerolipid metabolism	PNPLA3	Down	C3_PT_SLC22A7	Kidney	GSE210622	Hinze C et al. (Kidney)
hsa00561	Glycerolipid metabolism	GPAT3	Down	C3_PT_SLC22A7	Kidney	GSE210622	Hinze C et al. (Kidney)
hsa00590	Arachidonic acid metabolism	HPGD	Down	C28_PODO_PODXL	Kidney	GSE210622	Hinze C et al. (Kidney)
